Title,Date
"Frasier: Season 6: Hot Ticket","10/17/18"
"Gotham: Season 4: One Bad Day","10/16/18"
"Gotham: Season 4: That Old Corpse","10/16/18"
"Gotham: Season 4: To Our Deaths and Beyond","10/15/18"
"Frasier: Season 6: Dial M For Martin","10/15/18"
"Frasier: Season 6: Frasier's Curse","10/15/18"
"Gotham: Season 4: That's Entertainment","10/15/18"
"Gotham: Season 4: Mandatory Brunch Meeting","10/14/18"
"Gotham: Season 4: One of My Three Soups","10/14/18"
"Gotham: Season 4: The Sinking Ship, The Grand Applause","10/14/18"
"Gotham: Season 4: Reunion","10/14/18"
"Gotham: Season 4: A Beautiful Darkness","10/14/18"
"Gotham: Season 4: Pieces of a Broken Mirror","10/14/18"
"Gotham: Season 4: Queen Takes Knight","10/13/18"
"Gotham: Season 4: Things That Go Boom","10/13/18"
"Gotham: Season 4: Let Them Eat Pie","10/13/18"
"Gotham: Season 4: Stop Hitting Yourself","10/13/18"
"Gotham: Season 4: A Day in the Narrows","10/13/18"
"Gotham: Season 4: Hog Day Afternoon","10/11/18"
"Gotham: Season 4: The Blade's Path","10/11/18"
"Gotham: Season 4: The Demon's Head","10/11/18"
"Gotham: Season 4: They Who Hide Behind Masks","10/11/18"
"Gotham: Season 4: The Fear Reaper","10/10/18"
"Gotham: Season 4: Pax Penguina","10/10/18"
"Frasier: Season 6: Good Grief","10/8/18"
"The Office (U.S.): Season 1: Pilot","10/8/18"
"Explained: Season 1: eSports","10/7/18"
"Explained: Season 1: The Stock Market","10/7/18"
"Big Mouth: Season 2: The Department of Puberty","10/7/18"
"Big Mouth: Season 2: Smooch or Share","10/7/18"
"Big Mouth: Season 2: Dark Side of the Boob","10/6/18"
"Big Mouth: Season 2: Guy Town","10/6/18"
"Big Mouth: Season 2: Drug Buddies","10/6/18"
"Big Mouth: Season 2: The Planned Parenthood Show","10/6/18"
"Big Mouth: Season 2: Steve the Virgin","10/6/18"
"Big Mouth: Season 2: The Shame Wizard","10/5/18"
"Big Mouth: Season 2: What Is It About Boobs?","10/5/18"
"Big Mouth: Season 2: Am I Normal?","10/5/18"
